Name,Peak,Average,Peak Time
I_VAL_V5A_IMVP_0.01_R5B37,0.036541,0.005999,8.617000
V_VAL_VBATA_VNNAON_VR_IN_0.01_R4C6,13.079047,13.029452,149.435000
I_VAL_VBATA_VNNAON_VR_IN_0.01_R4C6,0.678305,0.019895,144.625000
V_VAL_VNNAON_VSYS_0.01_R4N20,5.168915,5.125857,173.818000
I_VAL_VNNAON_VSYS_0.01_R4N20,0.076909,0.001360,122.122000
V_VAL_VCCSA_VIN_0.002_R3B11,13.075721,13.031882,149.435000
I_VAL_VCCSA_VIN_0.002_R3B11,1.098422,0.040374,141.560000
V_VAL_V3P3S_SA_0.01_R3C7,3.337574,3.311428,62.903000
I_VAL_V3P3S_SA_0.01_R3C7,0.026759,0.002335,151.860000
V_VAL_VCCGT_VIN_0.002_R3B10,13.078813,13.032104,149.435000
I_VAL_VCCGT_VIN_0.002_R3B10,3.037162,0.016307,155.949000
V_VAL_V3P3S_GT_0.01_R3C15,3.337815,3.311417,62.903000
I_VAL_V3P3S_GT_0.01_R3C15,0.056752,0.002380,54.994000
V_VAL_V5A_TCSS_AIC1_0.005_R1M29,5.169571,5.128853,150.060000
I_VAL_V5A_TCSS_AIC1_0.005_R1M29,0.046882,0.007391,78.677000
V_VAL_V5A_TCSS_AIC2_0.005_R1P7,5.170113,5.128705,36.752000
I_VAL_V5A_TCSS_AIC2_0.005_R1P7,0.022391,-0.002170,8.078000
V_NC,8.634172,8.603336,50.213000
I_NC,0.098022,0.090135,163.188000
V_NC1,0.001623,0.000233,38.749000
I_NC1,0.102913,0.102913,0.000000
V_VAL_VBATA_VDD2H_VR_IN_0.005_R6F16,13.079151,13.029474,66.281000
I_VAL_VBATA_VDD2H_VR_IN_0.005_R6F16,0.829453,0.043611,46.327000
V_VAL_VIN_VDD2H_VR_VDD_0.005_R6U2,5.169890,5.128459,23.348000
I_VAL_VIN_VDD2H_VR_VDD_0.005_R6U2,0.052751,0.000694,2.267000
V_VAL_V5A_VDD2L_VR_IN_0.01_R5G8,5.169615,5.128372,150.374000
I_VAL_V5A_VDD2L_VR_IN_0.01_R5G8,0.228371,0.009084,75.507000
V_VAL_V5A_VDD1_VR_IN_0.01_R5H10,5.170359,5.128303,23.348000
I_VAL_V5A_VDD1_VR_IN_0.01_R5H10,0.314876,0.005045,122.930000
V_VAL_V5A_VDDQ_VR_IN_0.01_R6F18,5.170902,5.128471,173.818000
I_VAL_V5A_VDDQ_VR_IN_0.01_R6F18,0.227241,0.009474,2.325000
V_VAL_VBATA_V1P8A_IN_0.01_R1E27,13.079329,13.028142,149.435000
I_VAL_VBATA_V1P8A_IN_0.01_R1E27,0.422956,0.009798,113.660000
V_VAL_VBATA_V3P3A_VR_IN_0.002_R7H4,13.079046,13.024769,149.435000
I_VAL_VBATA_V3P3A_VR_IN_0.002_R7H4,6.515704,0.158444,144.795000
V_VAL_VBATA_V5A_VR_IN_0.002_R7H20,13.078840,13.024561,149.435000
I_VAL_VBATA_V5A_VR_IN_0.002_R7H20,5.110365,0.176257,13.711000
V_NC2,2.984698,2.944171,172.176000
I_NC2,0.102870,0.102795,0.000000
V_VAL_V3P3A_WLAN_0.005_R2M1,3.338132,3.310223,58.126000
I_VAL_V3P3A_WLAN_0.005_R2M1,1.073442,0.109724,129.165000
V_VAL_V1P8A_WWAN_0.01_R7F20,1.797858,1.791233,73.111000
I_VAL_V1P8A_WWAN_0.01_R7F20,0.024688,0.003021,104.128000
V_VAL_V3P3A_WWAN_0.005_R7G3,3.336759,3.312659,35.783000
I_VAL_V3P3A_WWAN_0.005_R7G3,0.453281,0.006135,26.178000
V_VAL_V5S_MCSI_CAMERA_0.01_R9B22,5.168792,5.119814,27.280000
I_VAL_V5S_MCSI_CAMERA_0.01_R9B22,0.010390,-0.002293,120.014000
V_VAL_V3P3S_MCSI_CAM1_0.01_R9B11,3.339187,3.312359,94.436000
I_VAL_V3P3S_MCSI_CAM1_0.01_R9B11,0.058022,-0.001941,11.862000
